study_id,has_docker,has_conda,has_pip,in_subdir,license_present,triples,resolve_success,build_success,fair_r,fair_findable,fair_accessible,fair_interoperable,fair_reusable,fair_reproducible,has_seed,stars,final_tier,log_stars,log_triples
study071,0,0,1,0,1,46,1.0,1.0,51.79,7.5,5.62,6.67,12.5,19.5,0,582,build_only,6.368187186350492,3.8501476017100584
study072,0,0,1,0,1,36,1.0,1.0,56.29,7.5,5.62,6.67,12.5,24.0,1,3,build_only,1.3862943611198906,3.6109179126442243
study073,0,1,1,0,1,190,0.0,0.0,48.04,7.5,5.62,6.67,8.75,19.5,0,2582,build_only,7.8567067930958405,5.25227342804663
study074,0,0,1,0,1,76,0.0,0.0,42.79,7.5,5.62,6.67,12.5,10.5,0,154,build_only,5.043425116919247,4.343805421853684
study075,0,1,1,0,1,80,1.0,1.0,51.79,7.5,5.62,6.67,12.5,19.5,0,16,build_only,2.833213344056216,4.394449154672439
study076,0,0,1,0,1,51,1.0,1.0,47.29,7.5,5.62,6.67,12.5,15.0,1,9,build_only,2.302585092994046,3.9512437185814275
study077,0,0,1,0,1,411,0.0,0.0,51.79,7.5,5.62,6.67,12.5,19.5,0,2648,build_only,7.88193748927207,6.021023349349527
study078,0,0,1,0,0,50,0.0,0.0,44.29,7.5,5.62,6.67,5.0,19.5,1,1,build_only,0.6931471805599453,3.9318256327243257
study079,0,0,1,0,1,101,0.0,0.0,51.79,7.5,5.62,6.67,12.5,19.5,1,5,build_only,1.791759469228055,4.624972813284271
study080,0,1,0,0,0,1174,,,44.29,7.5,5.62,6.67,5.0,19.5,0,152,build_only,5.030437921392435,7.069023426578259
study081,0,0,1,0,1,116,0.0,0.0,51.79,7.5,5.62,6.67,12.5,19.5,1,22,build_only,3.1354942159291497,4.762173934797756
study082,0,1,0,0,0,809,1.0,1.0,44.29,7.5,5.62,6.67,5.0,19.5,0,120,build_only,4.795790545596741,6.697034247666484
study083,0,1,1,0,1,195,1.0,1.0,47.29,7.5,5.62,6.67,12.5,15.0,0,7,build_only,2.0794415416798357,5.278114659230518
study084,0,0,1,0,1,31,1.0,1.0,51.79,7.5,5.62,6.67,12.5,19.5,0,1705,build_only,7.441906728051625,3.4657359027997265
study085,0,1,0,0,1,95,,,51.79,7.5,5.62,6.67,12.5,19.5,0,235,build_only,5.4638318050256105,4.564348191467836
study086,0,1,1,1,1,965,1.0,1.0,51.79,7.5,5.62,6.67,12.5,19.5,1,6,build_only,1.9459101490553132,6.873163834212518
study087,0,1,0,0,1,1050,,,51.79,7.5,5.62,6.67,12.5,19.5,0,133,build_only,4.897839799950911,6.957497370876951
study088,0,0,1,0,1,21,1.0,1.0,51.79,7.5,5.62,6.67,12.5,19.5,0,161,build_only,5.087596335232384,3.091042453358316
study089,0,0,1,0,0,60,0.0,0.0,44.29,7.5,5.62,6.67,5.0,19.5,1,17,build_only,2.8903717578961645,4.110873864173311
study090,0,0,1,0,1,66,0.0,0.0,51.79,7.5,5.62,6.67,12.5,19.5,0,861,build_only,6.759255270663693,4.204692619390966
study091,1,0,0,0,1,13,,,42.79,7.5,5.62,6.67,12.5,10.5,0,1,build_only,0.6931471805599453,2.639057329615259
study092,1,0,1,1,0,12,0.0,0.0,44.29,7.5,5.62,6.67,5.0,19.5,0,5,build_only,1.791759469228055,2.5649493574615367
study093,0,0,1,0,1,46,1.0,1.0,48.04,7.5,5.62,6.67,8.75,19.5,0,161,build_only,5.087596335232384,3.8501476017100584
study094,0,0,1,0,1,166,1.0,1.0,51.79,7.5,5.62,6.67,12.5,19.5,0,3268,build_only,8.092239406724211,5.117993812416755
study095,0,0,1,0,1,281,0.0,0.0,48.04,7.5,5.62,6.67,8.75,19.5,0,175,build_only,5.170483995038151,5.641907070938114
study096,0,0,1,0,1,221,0.0,0.0,26.62,2.5,5.62,0.0,12.5,6.0,1,9,build_only,2.302585092994046,5.402677381872279
